ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
103-20020516,1228655,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1781,Tobacco Retail Over Counter,103,RENEW,03/27/2002,05/07/2002,05/07/2002,N,05/16/2002,05/15/2003,05/07/2002,05/08/2002,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
101-20040516,1480073,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,101,RENEW,,03/17/2004,05/07/2004,N,05/16/2004,05/15/2005,05/07/2004,05/10/2004,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
101-20030516,1337924,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,101,RENEW,03/25/2003,05/09/2003,05/09/2003,N,05/16/2003,11/15/2003,05/09/2003,06/10/2003,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
101-20031116,1404362,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,101,RENEW,,09/26/2003,11/06/2003,N,11/16/2003,05/15/2004,11/06/2003,11/07/2003,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
102-20031116,1404363,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,102,RENEW,,09/26/2003,11/06/2003,N,11/16/2003,05/15/2004,11/06/2003,11/07/2003,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
103-20030516,1337922,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1781,Tobacco Retail Over Counter,103,RENEW,03/25/2003,05/09/2003,05/09/2003,N,05/16/2003,05/15/2004,05/09/2003,06/10/2003,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
100-20040516,1480076,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1006,Retail Food Establishment,100,RENEW,,03/17/2004,05/07/2004,N,05/16/2004,05/15/2005,05/07/2004,05/10/2004,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
102-20050516,1579995,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,102,RENEW,,03/23/2005,05/11/2005,N,05/16/2005,05/15/2006,05/11/2005,05/12/2005,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
101-20050516,1579994,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,101,RENEW,,03/23/2005,05/11/2005,N,05/16/2005,05/15/2006,05/20/2005,05/20/2005,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
102-20030516,1337923,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,102,RENEW,03/25/2003,05/09/2003,05/09/2003,N,05/16/2003,11/15/2003,05/09/2003,06/10/2003,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
100-20020516,1228654,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1006,Retail Food Establishment,100,RENEW,03/27/2002,05/07/2002,05/07/2002,N,05/16/2002,05/15/2003,05/07/2002,05/08/2002,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
102-20020516,1228656,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,102,RENEW,03/27/2002,05/07/2002,05/07/2002,N,05/16/2002,11/15/2002,05/07/2002,05/08/2002,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
101-20020516,1228657,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,101,RENEW,03/27/2002,05/07/2002,05/07/2002,N,05/16/2002,11/15/2002,05/07/2002,05/08/2002,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
1576631-20050301,1576631,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1006,Retail Food Establishment,1576631,ISSUE,02/10/2005,02/14/2005,02/14/2005,N,03/01/2005,11/15/2005,02/28/2005,03/01/2005,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
102-20021116,1278030,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,102,RENEW,09/24/2002,11/07/2002,11/07/2002,N,11/16/2002,05/15/2003,11/07/2002,11/08/2002,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
100-20050516,1579996,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1006,Retail Food Establishment,100,RENEW,,03/23/2005,05/11/2005,N,05/16/2005,05/15/2006,05/11/2005,05/12/2005,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
1595985-20050520,1595985,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1010,Limited Business License,1595985,ISSUE,05/17/2005,05/19/2005,05/19/2005,N,05/20/2005,08/15/2005,05/19/2005,05/20/2005,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
101-20021116,1278029,1,1,BERGHOFF,BERGHOFF'S RESTAURANT,17 W ADAMS ST # 1ST,CHICAGO,IL,60603,42,9,1,1475,Consumption on Premises - Incidental Activity,101,RENEW,09/24/2002,11/07/2002,11/07/2002,N,11/16/2002,05/15/2003,11/07/2002,11/08/2002,AAI,,1,41.879341939,-87.628411889,"(41.879341938770445, -87.62841188861722)"
